titulo,colacion,fecha,promedio,promedio_lineal
Ingeniero Químico,60,2022-09-05,7.23,7.36
Ingeniero Químico,60,2022-09-02,7.64,7.75
Ingeniero Químico,60,2022-09-02,7.46,7.44
Ingeniero Químico,60,2022-09-02,8.01,8.17
Ingeniero Industrial,60,2022-09-01,5.46,6.14
Ingeniero en Petróleo,60,2022-08-30,5.27,5.85
Ingeniero en Informática,60,2022-08-23,6.92,7.4
Ingeniero en Petróleo,60,2022-08-22,7.89,7.93
Ingeniero Químico,59,2022-08-18,8.02,8.01
Ingeniero Químico,59,2022-08-18,7.62,7.66
Ingeniero Químico,59,2022-08-18,7.5,7.58
Ingeniero Químico,59,2022-08-18,6.67,6.91
Ingeniero Químico,59,2022-08-18,6.89,7.26
Ingeniero Químico,59,2022-08-16,6.05,6.58
Ingeniero Químico,59,2022-08-16,6.3,6.62
Ingeniero en Informática,59,2022-08-16,7.67,7.7
Ingeniero en Informática,59,2022-08-15,7.27,7.36
Licenciatura en Gestión de Negocios,59,2022-08-15,7.66,7.79
Lic.en Administración y Sistemas,59,2022-08-15,5.26,5.91
Ingeniero Mecánico,59,2022-08-12,8.38,8.38
Ingeniero Mecánico,59,2022-08-12,7.19,7.36
Ingeniero Electrónico,59,2022-08-11,6.66,6.96
Ingeniero en Informática,59,2022-08-11,6.88,7.24
Ingeniero en Informática,59,2022-08-11,7.42,7.78
Ingeniero Electrónico,59,2022-08-11,6.24,6.85
Ingeniero Mecánico,59,2022-08-10,4.83,5.73
Ingeniero Mecánico,59,2022-08-09,7.31,7.5
Ingeniero Industrial,59,2022-08-08,6.16,6.7
Bioingeniero,59,2022-08-02,6.05,6.72
Ingeniero Mecánico,59,2022-08-02,6.73,7.05
Ingeniero Mecánico,59,2022-08-01,5.97,6.48
Lic.en Administración y Sistemas,59,2022-08-01,5.21,5.99
Lic.en Administración y Sistemas,59,2022-08-01,7.04,7.22
Lic.en Administración y Sistemas,59,2022-08-01,7.37,7.43
Lic.en Administración y Sistemas,59,2022-08-01,5.7,6.15
Ingeniero Industrial,59,2022-08-01,6.75,6.71
Ingeniero Industrial,59,2022-08-01,8.4,8.48
Ingeniero Industrial,59,2022-08-01,7.35,7.47
Ingeniero Industrial,59,2022-08-01,6.56,7.21
Ingeniero Industrial,59,2022-08-01,5.88,6.63
Ingeniero Industrial,59,2022-08-01,6.39,6.86
Lic.en Administración y Sistemas,59,2022-07-29,6.92,7.15
Lic.en Administración y Sistemas,59,2022-07-29,6.31,6.74
Ingeniero Industrial,59,2022-07-26,6.85,7.38
Ingeniero Industrial,59,2022-07-26,6.13,6.78
Ingeniero Industrial,59,2022-07-25,6.34,6.83
Ingeniero Mecánico,59,2022-07-25,7.49,7.57
Ingeniero Mecánico,59,2022-07-25,7.59,7.72
Licenciatura en Gestión de Negocios,59,2022-07-22,7.32,7.47
Licenciatura en Gestión de Negocios,59,2022-07-22,7.42,7.69
Licenciatura en Gestión de Negocios,59,2022-07-22,7.55,7.63
Ingeniero Electrónico,59,2022-07-21,8.81,8.79
Licenciatura en Gestión de Negocios,59,2022-07-21,6.79,7.1
Licenciatura en Gestión de Negocios,59,2022-07-21,7.29,7.38
Licenciatura en Gestión de Negocios,59,2022-07-21,7.03,7.07
Licenciatura en Gestión de Negocios,59,2022-07-21,7.46,7.52
Ingeniero Electrónico,59,2022-07-21,8.48,8.57
Ingeniero Electrónico,59,2022-07-21,7.41,7.49
Ingeniero en Informática,59,2022-07-21,7.75,7.89
Lic.en Administración y Sistemas,59,2022-07-21,8.15,8.2
Lic.en Administración y Sistemas,59,2022-07-21,7.03,7.11
Lic.en Administración y Sistemas,59,2022-07-21,7.23,7.38
Lic.en Administración y Sistemas,59,2022-07-21,7.68,7.81
Lic.en Administración y Sistemas,59,2022-07-21,7.37,7.54
Lic.en Administración y Sistemas,59,2022-07-21,8.91,8.93
Lic.en Administración y Sistemas,59,2022-07-21,8.39,8.38
Lic.en Administración y Sistemas,59,2022-07-21,7.09,7.21
Ingeniero Industrial,59,2022-07-20,6.32,6.97
Ingeniero en Petróleo,59,2022-07-20,7.19,7.42
Licenciatura en Analítica Empresarial y Social,59,2022-07-20,7.6,8.02
Licenciatura en Analítica Empresarial y Social,59,2022-07-20,6.92,7.49
Licenciatura en Analítica Empresarial y Social,59,2022-07-20,8.27,8.45
Licenciatura en Analítica Empresarial y Social,59,2022-07-20,7.22,7.32
Ingeniero Mecánico,59,2022-07-20,6.42,6.64
Ingeniero Electrónico,59,2022-07-20,7.62,7.76
Ingeniero Electrónico,59,2022-07-20,9.51,9.51
Ingeniero Electrónico,59,2022-07-20,8.01,8.11
Ingeniero Electrónico,59,2022-07-20,8.04,8.03
Ingeniero Industrial,59,2022-07-20,6.57,7.01
Ingeniero Industrial,59,2022-07-20,5.81,6.34
Ingeniero Industrial,59,2022-07-20,6.8,7.33
Ingeniero Industrial,59,2022-07-20,6.86,7.17
Ingeniero Industrial,59,2022-07-19,7.1,7.36
Ingeniero Mecánico,59,2022-07-19,6.16,6.68
Ingeniero en Informática,59,2022-07-18,7.24,7.39
Ingeniero Químico,59,2022-07-18,7.09,7.27
Licenciatura en Analítica Empresarial y Social,59,2022-07-18,7.93,8.1
Ingeniero Industrial,59,2022-07-18,6.72,7.12
Ingeniero Industrial,59,2022-07-18,6.88,7.27
Ingeniero Industrial,59,2022-07-15,8.21,8.37
Ingeniero Industrial,59,2022-07-15,9.15,9.12
